CIKKSZAM;MEGN;MENYEGY;BESZAR;ELADAR;AFASZAZ;AKTKESZ;TORT
5030107;ALFOLD ARANYA 5L MEGGYLE;DB;1550;2190;25;1;HAMIS
2300025;ALGIDA KREMKONNYU CSOKI;DB;442,16;649;25;3;HAMIS
2300026;ALGIDA KREMKONNYU EPER;DB;416,16;649;25;4;HAMIS
2300007;ALGIDA KREMKONNYU PUNCS;DB;418,2;649;25;2;HAMIS
2300001;ALGIDA KREMKONNYU VANIL;DB;431,77;649;25;2;HAMIS
2300005;ALGIDA LIGHT CSOKI-VAN;DB;398;699;25;0;HAMIS
2300017;ALGIDA +++BIG TRIO;DB;85,5;160;25;0;HAMIS
2300060;ALGIDA +++CIKK-CAKK;DB;91,29;160;25;0;HAMIS
2300064;ALGIDA +++KOLORKI;DB;0;79;25;0;HAMIS
2300058;ALGIDA +++KREMKONNYU CSOK;DB;66,19;120;25;9;HAMIS
2300062;ALGIDA +++KREMKONNYU EPER;DB;66,28;120;25;1;HAMIS
2300021;ALGIDA +++KREMKONNYU PU;DB;70,91;120;25;-3;HAMIS
2300049;ALGIDA +++KREMKONNYU VAN;DB;68,75;120;25;8;HAMIS
2300039;ALGIDA +++NOGGER;DB;96,28;190;25;0;HAMIS
2300056;ALGIDA +++ROMERO;DB;101,4;180;25;0;HAMIS
2300084;ALGIDA +++SPORT XL+++56ML;DB;83;159;25;0;HAMIS
2300024;ALGIDA +++SPORT;DB;83,51;160;25;1;HAMIS
2300042;ALGIDA +++STRAC.SZENDVICS;DB;104,18;160;25;25;HAMIS
2300040;ALGIDA +++TURO ICE LIGHT;DB;78,85;140;25;0;HAMIS
2300018;ALGIDA +++TURO ICE XL;DB;67,25;140;25;0;HAMIS
2300010;ALGIDA CALIPPO EPER;DB;153;230;25;9;HAMIS
2300075;ALGIDA CALIPPO LIME;DB;159,37;230;25;0;HAMIS
2300012;ALGIDA CORNETTO CLASSICO;DB;159,34;250;25;4;HAMIS
2300014;ALGIDA CORNETTO CSOKOLADE;DB;130,29;250;25;0;HAMIS
2300013;ALGIDA CORNETTO EPER;DB;158,58;250;25;12;HAMIS
2300016;ALGIDA CORNETTO IT. CSOKI;DB;161,29;300;25;0;HAMIS
2300019;ALGIDA CORNETTO IT. MASCA;DB;198,52;300;25;9;HAMIS
2300002;ALGIDA MAGNUM CLASSIC;DB;212,75;350;25;20;HAMIS
2300006;ALGIDA MAGNUM DUPLA CARAM;DB;210,6;350;25;12;HAMIS
2300015;ALGIDA MAGNUM DUPLA CSOKI;DB;198,35;350;25;0;HAMIS
2300009;ALGIDA MAGNUM ECUADOR DAR;DB;175,84;350;25;0;HAMIS
2300004;ALGIDA MAGNUM FEHER;DB;212,73;350;25;13;HAMIS
2300003;ALGIDA MAGNUM MANDULA;DB;213,17;350;25;4;HAMIS
2300008;ALGIDA MAGNUM MAYAN;DB;190,87;350;25;0;HAMIS
2300000;ALGIDA MAGNUM MOGYORO;DB;221,61;350;25;8;HAMIS
2300027;ALGIDA MAGNUM YOGHURT FRE;DB;208,81;350;25;7;HAMIS
2300028;ALGIDA SOLERO BANAN-FRIBI;DB;0;260;25;0;HAMIS
2300047;ALGIDA VIENETTA CSOKIS;DB;380;699;25;7;HAMIS
2300020;ALGIDA VIENETTA EPER;DB;380,99;699;25;8;HAMIS
2300035;ALGIDA VIENETTA VANILIA;DB;382;699;25;5;HAMIS
3600081;ALMA BEFOTT 280G DIABETIK;DB;193,72;299;25;0;HAMIS
3600033;ALMA BEFOTT 370G VITL;DB;158;229;25;0;HAMIS
3600054;ALMA BEFOTT 380G VITAMOR;DB;178,92;349;25;0;HAMIS
3600040;ALMA BEFOTT 700G MATRA;DB;140,6;219;25;20;HAMIS
3600036;ALMA BEFOTT 720ML REGE;DB;156,67;269;25;0;HAMIS
3600014;ALMA BEFOTT DIABETIK REGE;DB;149,43;249;25;0;HAMIS
5030112;ALMA UDITO 5% 5L;DB;170,92;259;25;-3;HAMIS
5030056;ALMAITAL 1L APFELSAFT;DB;59,12;99;25;5;HAMIS
3200015;ALMAPAPRIKA 720ML MATRA;DB;168,21;249;25;29;HAMIS
1340023;ALTENBRAU 0,5L DOBOZ;DB;87,42;135;25;84;HAMIS
1340021;ALTENBRAU 0,5L PALACK;DB;54,7;85;25;10;HAMIS
8500007;ALUFOLIA 10M;DB;133,72;219;25;14;HAMIS
8500008;ALUFOLIA 10M ALUFIX;DB;204,27;319;25;5;HAMIS
8500050;ALUFOLIA 10M ALUPACK;DB;80;129;25;12;HAMIS
8500054;ALUFOLIA 20M;DB;238;359;25;0;HAMIS
8500027;ALUFOLIA 20M LAND;DB;162;249;25;0;HAMIS
8500011;ALUFOLIA 20M ALUFIX;DB;315,87;499;25;0;HAMIS
8500010;ALUFOLIA 30M;DB;268;499;25;1;HAMIS
8500016;ALUFOLIA 30M ALUFIX;DB;466,92;779;25;1;HAMIS
8400006;ALUTALCA+FEDEL 5DB;DB;400,33;600;25;5;HAMIS
7800018;ALWAYS DUO FRESH 18 NORM;DB;399,01;599;25;0;HAMIS
7800031;ALWAYS DUO SENS 16 SUPER;DB;504,21;599;25;0;HAMIS
7800025;ALWAYS DUO SENS 20 NORMA;DB;399,01;599;25;0;HAMIS
7800036;ALWAYS DUO ULTRA 14 NIGH;DB;412,91;599;25;0;HAMIS
7800026;ALWAYS DUO ULTRA 16 SUP;DB;399,01;599;25;1;HAMIS
7800001;ALWAYS DUO ULTRA 20 NORM;DB;407,28;599;25;1;HAMIS
7800005;ALWAYS FRESH 9 SENS NOR;DB;281,66;399;25;13;HAMIS
7800024;ALWAYS FRESH 9 ULTRA N;DB;261,96;399;25;0;HAMIS
7800020;ALWAYS SENS 8 SUPER;DB;239,2;399;25;10;HAMIS
7800019;ALWAYS SENS 10 NORMAL;DB;272,62;399;25;22;HAMIS
7800003;ALWAYS ULTRA 7 NIGHT;DB;282,2;399;25;5;HAMIS
7800004;ALWAYS ULTRA 8 SUPER+;DB;236,15;399;25;-8;HAMIS
7800000;ALWAYS ULTRA 10 NORMAL;DB;261,51;399;25;7;HAMIS
7800002;ALWAYS ULTRA 12 NORMAL;DB;244,7;399;25;10;HAMIS
6600014;AMBI-PUR 300ML PURESSE;DB;412;599;25;18;HAMIS
6600013;AMBI-PUR 300ML SPRAYK;DB;322,57;599;25;8;HAMIS
6600006;AMBI-PUR TATAMI KESZULEK;DB;735,21;1159;25;0;HAMIS
6600001;AMBI-PUR FLUSH UT. ORANGE;DB;347,23;529;25;8;HAMIS
6600024;AMBI-PUR FLUSH UT.TRIO 2F;DB;608,63;949;25;4;HAMIS
6600007;AMBI-PUR GEL 150ML BARACK;DB;233,01;349;25;0;HAMIS
6600008;AMBI-PUR GEL 150ML CITROM;DB;209,71;349;25;0;HAMIS
6600011;AMBI-PUR GEL 150ML TOBACC;DB;209,71;349;25;0;HAMIS
6600020;AMBI-PUR GEL 150ML VANILA;DB;169,02;349;25;0;HAMIS
7550004;AMBRE SOLAIRE PUMP F30;DB;2899;4399;25;0;HAMIS
4000130;AMERICANA 25G KID TEJ;DB;25,84;39;25;0;HAMIS
4020034;AMERICANA 25G MINDEN IZ;DB;25,84;39;25;0;HAMIS
4020022;AMERICANA 100G EPERKREM;DB;68,12;119;25;-1;HAMIS
4020020;AMERICANA 100G FOLDIMOGY;DB;68,12;119;25;0;HAMIS
4000131;AMERICANA 100G KID;DB;69,72;119;25;1;HAMIS
4020001;AMERICANA 100G MAZSOLAS;DB;77,16;119;25;0;HAMIS
4020040;AMERICANA 100G MOGYOROS;DB;68,48;119;25;0;HAMIS
4020018;AMERICANA 100G TEJNUGAT;DB;76,39;119;25;14;HAMIS
7300000;AMODENT 75 ML EREDETI;DB;133,03;219;25;-17;HAMIS
7300018;AMODENT 75 ML HERBAL;DB;126,65;219;25;0;HAMIS
7300019;AMODENT 75 ML WHITENING;DB;143,49;219;25;24;HAMIS
1330000;AMSTEL 0,5L DOBOZ;DB;137,06;179;25;112;HAMIS
1330009;AMSTEL 0,5L PALACK;DB;105,65;129;25;0;HAMIS
1330008;AMSTEL PULSE 0,33L UVEG;DB;164,5;249;25;0;HAMIS
1330002;AMSTEL PULSE 0,5L DOBOZ;DB;135;249;25;5;HAMIS
3600017;ANANASZ DARAB 567G ISKA;DB;138,45;199;25;0;HAMIS
3600060;ANANASZ DARAB 567G LENA;DB;135,87;199;25;0;HAMIS
3600023;ANANASZ DARAB 567G TAIPAI;DB;118,25;179;25;-4;HAMIS
3600011;ANANASZ DARAB 580ML HAPPY;DB;172;269;25;20;HAMIS
3600010;ANANASZ DARAB 820G HAPPY;DB;186,38;279;25;0;HAMIS
3600031;ANANASZ DARAB 850G TAIPAI;DB;179,56;269;25;0;HAMIS
3600063;ANANASZ SZELET 565G TAIPA;DB;178,64;319;25;4;HAMIS
3600021;ANANASZ SZELET 580M HAPPY;DB;195,65;299;25;19;HAMIS
4300035;ANDANTE 130G KAKAO-TEJ;DB;124;189;25;0;HAMIS
4300079;ANDANTE 130G KAKAOS OSTYA;DB;113,44;189;25;0;HAMIS
4300075;ANDANTE 130G MOGYOROS;DB;124;189;25;0;HAMIS
4300081;ANDANTE 130G VANILIAS;DB;113,44;189;25;0;HAMIS
4301003;ANDANTE 180G TEASUTI KA;DB;128,32;199;25;0;HAMIS
4301005;ANDANTE 180G TEASUTI KOK;DB;128,32;199;25;0;HAMIS
4301000;ANDANTE PISKOTATALLER EP;DB;120,75;229;25;0;HAMIS
4301006;ANDANTE PISKOTATALLER ME;DB;120,75;229;25;0;HAMIS
4301002;ANDANTE PISKOTATALLER NA;DB;104,03;229;25;0;HAMIS
4301001;ANDANTE PISKOTATALLER SB;DB;136,58;229;25;0;HAMIS
4300084;ANDANTE SPECIAL CLASSIC;DB;156,45;249;25;0;HAMIS
4300085;ANDANTE SPECIAL KOKUSZOS;DB;137,87;249;25;0;HAMIS
4301004;ANDANTE VAJAS KEKSZ 135G;DB;122,04;229;25;0;HAMIS
1200040;ANGELLI 0,75L BIANCO;DB;877,47;1299;25;6;HAMIS
1230011;ANGELLI 0,75L CHERRY;DB;778,79;1299;25;2;HAMIS
1200041;ANGELLI 0,75L ERDEI;DB;863,19;1299;25;5;HAMIS
2540019;ANGOLSZALONNA;KG;1247;1999;25;0,024;IGAZ
4300160;ANI BANANOS KEKSZ 200G;DB;91,39;149;25;16;HAMIS
4300123;ANI EPRES KEKSZ 200G;DB;91,22;149;25;26;HAMIS
4300161;ANI KAKAOS KEKSZ 200G;DB;86,53;149;18;0;HAMIS
4300137;ANI PETIT BEURRE 400G;DB;163,33;259;25;12;HAMIS
5000023;APENTA 1,5L DUS;DB;70,25;119;25;0;HAMIS
5000024;APENTA 1,5L ENYHE;DB;66,9;119;25;0;HAMIS
5000026;APENTA 1,5L MENTES;DB;67,02;119;25;0;HAMIS
5000001;APENTA 1,5L +LIMON ALMA;DB;142,17;219;25;2;HAMIS
5000075;APENTA 1,5L +LIMON CLASS;DB;142,18;219;25;5;HAMIS
5000078;APENTA 1,5L +LIMON NARAN;DB;142,18;209;25;0;HAMIS
5000029;APENTA 1,5L -LIMON MENTA;DB;142,18;219;25;1;HAMIS
5000103;APENTA 1,5L AFONYA;DB;142,97;219;25;6;HAMIS
5000104;APENTA 1,5L BODZA;DB;142,97;219;25;6;HAMIS
5000107;APENTA 1,5L GRAPEFRUIT;DB;128,31;219;25;-1;HAMIS
5000105;APENTA 1,5L MALNA;DB;142,97;219;25;6;HAMIS
